,brgy_name,ADM4_PCODE,ADM4_REF,mun_name,ADM3_PCODE,prov_name,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,AREA_SQKM,corn_farmers
621,Capaccuan,PH0201521007,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.143899603,0.001207202,14.16636373,6
622,Dungan,PH0201521008,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.108586079,0.000511759,6.004083557,9
623,Duyun,PH0201521009,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.066933404,0.000230413,2.703252069,53
624,Gaddangao,PH0201521010,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.127459928,0.000602378,7.069183378,24
625,Gaggabutan East,PH0201521011,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.118368324,0.000517279,6.06758236,8
626,Gaggabutan West,PH0201521028,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.142337135,0.000804861,9.440259751,22
627,Illuru Norte,PH0201521012,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.121253912,0.000587542,6.892099749,8
628,Illuru Sur,PH0201521029,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.119932328,0.000664215,7.792007818,52
629,Lattut,PH0201521013,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.10997145,0.000443395,5.202601463,32
630,Linno-C (Villa Cruz*),PH0201521014,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.191119445,0.000701674,8.229994051,9
631,Liuan,PH0201521015,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.066183157,0.000145073,1.702212971,20
632,Mabbang,PH0201521016,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.05665874,0.000132259,1.551533618,11
633,Masi (Zinundungan),PH0201521018,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.388153111,0.005473967,64.18670972,35
634,Mauanan,PH0201521017,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.16956245,0.000682323,8.005202391,14
635,Minanga,PH0201521019,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.094847791,0.000279089,3.274228786,2
636,Nanauatan,PH0201521020,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.139028183,0.000618656,7.25897972,30
637,Nanungaran,PH0201521021,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.074054401,0.000283058,3.32127721,33
638,Pasingan,PH0201521022,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.112630246,0.00060622,7.112817643,4
639,Poblacion,PH0201521023,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.082894326,0.00019282,2.2619021,13
640,San Juan (Zinundungan),PH0201521024,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.390846689,0.004465556,52.3510638,30
641,Sinicking,PH0201521025,,Rizal,PH0201521,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.087156095,0.000269897,3.166415512,27
642,Bangan,PH0201522001,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.150810595,0.000947038,11.06855748,4
643,Callungan,PH0201522002,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.23059194,0.002687701,31.40344441,14
644,Centro I (Pob.),PH0201522003,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.081297254,0.0002383,2.784594982,
645,Centro II (Pob.),PH0201522004,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.084633363,0.000372892,4.357223635,
646,Dacal,PH0201522005,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.076841005,0.0001928,2.252560046,
647,Dagueray,PH0201522006,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.073736581,0.000297263,3.473677923,
648,Dammang,PH0201522008,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.067860499,0.00013633,1.592897778,
649,Kittag,PH0201522009,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.198515869,0.001873397,21.89420543,
650,Langagan,PH0201522010,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.06817587,0.000260051,3.038831519,7
651,Magacan,PH0201522011,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.056167081,0.000187624,2.191759032,
652,Marzan,PH0201522012,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.064865087,0.000175752,2.053615958,
653,Masisit,PH0201522013,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.077302805,0.000184337,2.15364255,1
654,Nagrangtayan,PH0201522014,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.064164418,0.000133597,1.560718387,
655,Namuac,PH0201522015,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.113502226,0.000262975,3.071886787,
656,San Andres,PH0201522016,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.091847144,0.000488263,5.704138974,1
657,Santiago,PH0201522017,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.291912979,0.003052609,35.68352512,5
658,Santor,PH0201522018,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.065514801,0.000237201,2.77198583,2
659,Tokitok,PH0201522019,,Sanchez-Mira,PH0201522,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.043241496,0.000107175,1.251929756,
660,Batu-Parada,PH0201523009,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.061241195,0.000171882,2.009470167,3
661,Casagan,PH0201523001,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.142145468,0.001071335,12.52402212,
662,Casambalangan (Port Irene),PH0201523002,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.259515715,0.001679951,19.65223547,
663,Centro (Pob.),PH0201523003,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.075446485,0.000263266,3.078082327,3
664,Diora-Zinungan,PH0201523004,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.192704982,0.000836653,9.783454296,
665,Dungeg,PH0201523005,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.198677496,0.001473138,17.22446419,4
666,Kapanikian,PH0201523006,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.087708206,0.000383304,4.482057451,1
667,Marede,PH0201523007,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.213839457,0.001439344,16.82738143,1
668,Palawig,PH0201523008,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.066944466,0.000175647,2.053445281,1
669,Patunungan,PH0201523010,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.713513221,0.016609629,194.3331797,1
670,Rapuli (Punti),PH0201523011,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.230999612,0.001683616,19.69106754,1
671,San Vicente (Fort),PH0201523012,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.990530145,0.004708992,55.03479694,4
672,Santa Clara,PH0201523013,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.336288277,0.005458283,63.83481381,4
673,Santa Cruz,PH0201523014,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.079559685,0.00039258,4.589122322,
674,Tangatan,PH0201523016,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.033933084,5.23491e-05,0.611901025,4
675,Visitacion (Pob.),PH0201523015,,Santa Ana,PH0201523,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.1595589,0.000774065,9.050699273,9
676,Cadongdongan,PH0201524001,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.240911627,0.003008264,35.16404877,
677,Capacuan,PH0201524002,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.042982882,7.491123e-05,0.875345906,
678,Centro I (Pob.),PH0201524003,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.067861335,0.000165642,1.935474592,1
679,Centro II (Pob.),PH0201524004,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.055821214,0.00013088,1.529236735,
680,Macatel,PH0201524005,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.215023925,0.001491381,17.42402541,
681,Portabaga,PH0201524008,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.066883934,0.000238404,2.785906808,
682,Salungsong,PH0201524011,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.080022745,0.000373757,4.367541434,
683,San Juan,PH0201524009,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.142364451,0.000623416,7.283481115,
684,San Miguel,PH0201524010,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.157233134,0.000723728,8.458338051,
685,Sicul,PH0201524012,,Santa Praxedes,PH0201524,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.127846937,0.000551636,6.44666293,
686,Alucao,PH0201525001,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.190193186,0.001800365,21.08007837,39
687,Aridowen,PH0201525013,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.167905213,0.001645014,19.26099036,20
688,Buyun,PH0201525002,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.091406288,0.000449062,5.256733728,2
689,Caniugan,PH0201525014,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.074719431,0.00030677,3.590621228,12
690,Centro East (Pob.),PH0201525003,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.035483004,5.884261e-05,0.688770942,16
691,Centro West,PH0201525015,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.037756,6.134348e-05,0.718063257,14
692,Dungeg,PH0201525004,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.262293559,0.00294163,34.44029922,28
693,Luga,PH0201525005,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.186084154,0.001481777,17.34876685,26
694,Masi,PH0201525006,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.121061503,0.000405694,4.749236133,15
695,Mission,PH0201525007,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.094962036,0.000323454,3.786229376,58
696,Simbaluca,PH0201525016,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.139564448,0.000596639,6.983671833,1
697,Simpatuyo,PH0201525011,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.134937175,0.000646023,7.561821635,29
698,Villa,PH0201525012,,Santa Teresita,PH0201525,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.05822425,0.000179998,2.106995176,39
699,Abariongan Ruar,PH0201526001,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.094900872,0.000488205,5.722682907,32
700,Abariongan Uneg,PH0201526002,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.16267587,0.000598308,7.013244545,30
701,Balagan,PH0201526003,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.348349888,0.00414217,48.56212988,17
702,Balanni,PH0201526004,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.251213156,0.002758804,32.35927038,20
703,Cabayo,PH0201526006,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.093778783,0.000388293,4.556063407,4
704,Calapangan,PH0201526007,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.066121259,0.000186409,2.184862644,13
705,Calassitan,PH0201526008,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.279564056,0.002845542,33.35523676,37
706,Campo,PH0201526009,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.087773885,0.000518998,6.090180129,27
707,Centro Norte (Pob.),PH0201526010,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.062761756,0.000212875,2.496742363,89
708,Centro Sur (Pob.),PH0201526011,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.065495474,0.000266193,3.122356349,43
709,Dungao,PH0201526012,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.101355919,0.000597704,7.008181417,90
710,Lattac,PH0201526014,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.097780551,0.000350727,4.114780124,42
711,Lipatan,PH0201526015,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.22069725,0.002201492,25.82418704,22
712,Lubo,PH0201526016,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.097023028,0.000388572,4.558793582,29
713,Mabitbitnong,PH0201526017,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.06486167,0.000211357,2.479239157,26
714,Mapitac,PH0201526018,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.112686358,0.00054572,6.40252963,9
715,Masical,PH0201526019,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.112299121,0.00073718,8.64909705,14
716,Matalao,PH0201526020,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.094920535,0.000515593,6.045117107,58
717,Nag-uma,PH0201526021,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.092613948,0.000498354,5.844256308,38
718,Namuccayan,PH0201526022,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.071093193,0.000303508,3.559224589,64
719,Niug Norte,PH0201526023,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.138402564,0.001067734,12.52375427,22
720,Niug Sur,PH0201526024,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.050487971,0.000123975,1.454328373,21
721,Palusao,PH0201526025,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.096408335,0.000520429,6.105160016,14
722,San Manuel,PH0201526026,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.091630215,0.000497669,5.836899268,52
723,San Roque,PH0201526027,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.093542447,0.000401026,4.704275677,1
724,Santa Felicitas,PH0201526028,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.367812864,0.004411585,51.73619649,54
725,Santa Maria,PH0201526029,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.096937538,0.000433751,5.088522903,15
726,Sidiran,PH0201526030,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.077804362,0.000343185,4.025373218,28
727,Tabang,PH0201526031,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.062061562,0.000229891,2.697427371,11
728,Tamucco,PH0201526032,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.355301524,0.003701553,43.40275536,31
729,Virginia,PH0201526033,,Santo Ni?o (Faire),PH0201526,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.074805827,0.000318615,3.738733356,9
730,Andarayan North,PH0201527001,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.068217844,0.000210611,2.472921747,28
731,Andarayan South,PH0201527037,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.053479021,0.000100215,1.176736398,9
732,Bangag,PH0201527003,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.171275549,0.000951142,11.16654033,61
733,Bantay,PH0201527004,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.116162774,0.000752153,8.835990913,7
734,Basi East,PH0201527005,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.05747923,0.000147441,1.731431137,16
735,Basi West,PH0201527038,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.089810798,0.00046132,5.417160876,3
736,Bauan East,PH0201527006,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.12041249,0.000349648,4.104830084,27
737,Bauan West,PH0201527039,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.150207881,0.000588262,6.905680765,16
738,Cadaanan,PH0201527007,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.160943765,0.001378184,16.1894887,19
739,Calamagui,PH0201527008,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.054384982,0.00014452,1.697322656,17
740,Calillauan,PH0201527040,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.070865873,0.000254808,2.993055286,1
741,Carilucud,PH0201527009,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.096618061,0.000549622,6.456494868,
742,Cattaran,PH0201527010,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.157566663,0.001142266,13.41035261,79
743,Centro Northeast (Pob.),PH0201527011,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.04077677,8.998278e-05,1.056740482,6
744,Centro Northwest (Pob.),PH0201527012,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.054237293,0.000144854,1.701114935,1
745,Centro Southeast (Pob.),PH0201527013,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.040844967,8.917097e-05,1.047242615,2
746,Centro Southwest (Pob.),PH0201527014,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.044373297,7.29516e-05,0.856747029,
747,Dassun,PH0201527033,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.096819515,0.000383582,4.502443676,83
748,Furagui,PH0201527034,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.130168365,0.000858738,10.08685269,16
749,Gadu,PH0201527035,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.117386227,0.000805729,9.46309655,
750,Gen. Eulogio Balao,PH0201527041,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.117046287,0.000663408,7.790579194,27
751,Iraga,PH0201527036,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.269073213,0.001866067,21.90670229,113
752,Lanna,PH0201527015,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.116645434,0.000450299,5.28723872,9
753,Lannig,PH0201527002,,Solana,PH0201527,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.154467249,0.001164036,13.67167318,3
