province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
CAGAYAN,PIAT,Other fruit-bearing trees and vines,1,0.2
CAGAYAN,PIAT,Other fruit-bearing vegetables,43,23.13
CAGAYAN,PIAT,Other leafy vegetables,42,10.29
CAGAYAN,PIAT,Other leguminous plants,1,0.3
CAGAYAN,PIAT,Other varieties of tobacco,21,9.53
CAGAYAN,PIAT,Peacock,1,0
CAGAYAN,PIAT,Peanuts,2,2.7
CAGAYAN,PIAT,Pigeons,1,0
CAGAYAN,PIAT,Pigs or swine,556,0
CAGAYAN,PIAT,Rabbits and hares,1,0
CAGAYAN,PIAT,Rice/Palay,2194,3422.47
CAGAYAN,PIAT,Sheep,10,0
CAGAYAN,PIAT,Sugarcane,128,347.52
CAGAYAN,PIAT,Tilapia,1,0.02
CAGAYAN,PIAT,Tobacco (native),22,8.31
CAGAYAN,PIAT,Turkeys,29,0
CAGAYAN,RIZAL,Banana,511,541.96
CAGAYAN,RIZAL,Buffaloes (Carabaos),203,0
CAGAYAN,RIZAL,Cacao,3,1.1
CAGAYAN,RIZAL,Cattle,3,0
CAGAYAN,RIZAL,Chickens,149,0
CAGAYAN,RIZAL,Citronella,1,0.25
CAGAYAN,RIZAL,Coconut,56,50.27
CAGAYAN,RIZAL,Coffee - other varieties,3,7.4
CAGAYAN,RIZAL,Corn,3547,5245.79
CAGAYAN,RIZAL,Dogs and cats,9,0
CAGAYAN,RIZAL,Ducks,94,0
CAGAYAN,RIZAL,Eggplant (talong),1,3
CAGAYAN,RIZAL,Geese,2,0
CAGAYAN,RIZAL,Goats,12,0
CAGAYAN,RIZAL,Horses,1,0
CAGAYAN,RIZAL,Kalamansi,1,6
CAGAYAN,RIZAL,Lanzones,2,0.8
CAGAYAN,RIZAL,Lime (Calamansi),2,0.55
CAGAYAN,RIZAL,Mandarin (dalanghita),7,11.33
CAGAYAN,RIZAL,Mango,69,62.74
CAGAYAN,RIZAL,Ostrich,1,0
CAGAYAN,RIZAL,Other animals (e.g.,3,0
CAGAYAN,RIZAL,Other Fish,1,0.2
CAGAYAN,RIZAL,Other fruit-bearing trees and vines,18,28.3
CAGAYAN,RIZAL,Other fruit-bearing vegetables,9,5.76
CAGAYAN,RIZAL,Other industrial crops,1,1.3
CAGAYAN,RIZAL,Other leafy vegetables,3,3.95
CAGAYAN,RIZAL,Other leguminous plants,1,1
CAGAYAN,RIZAL,Peanuts,1,0.75
CAGAYAN,RIZAL,Pigs or swine,140,0
CAGAYAN,RIZAL,Pineapple,1,0.5
CAGAYAN,RIZAL,Rambutan,3,1.3
CAGAYAN,RIZAL,Rice/Palay,1804,1514.8
CAGAYAN,RIZAL,Squash (kalabasa),1,0.7
CAGAYAN,RIZAL,Tilapia,5,0.16
CAGAYAN,RIZAL,Tobacco (native),6,3.48
CAGAYAN,RIZAL,Tobacco (Virginia),1,0.4
CAGAYAN,RIZAL,Turkeys,4,0
CAGAYAN,SANCHEZ MIRA,Banana,1,3
CAGAYAN,SANCHEZ MIRA,Buffaloes (Carabaos),21,0
CAGAYAN,SANCHEZ MIRA,Cacao,1,3.25
CAGAYAN,SANCHEZ MIRA,Cattle,75,0
CAGAYAN,SANCHEZ MIRA,Chickens,87,0
CAGAYAN,SANCHEZ MIRA,Coconut,166,213.56
CAGAYAN,SANCHEZ MIRA,Coffee - other varieties,1,2
CAGAYAN,SANCHEZ MIRA,Corn,75,70.43
CAGAYAN,SANCHEZ MIRA,Ducks,28,0
CAGAYAN,SANCHEZ MIRA,Geese,1,0
CAGAYAN,SANCHEZ MIRA,Goats,16,0
CAGAYAN,SANCHEZ MIRA,Hito/Catfish,1,0.03
CAGAYAN,SANCHEZ MIRA,Mushroom,1,0.05
CAGAYAN,SANCHEZ MIRA,Other animals (e.g.,4,0
CAGAYAN,SANCHEZ MIRA,Other Fish,90,9.25
CAGAYAN,SANCHEZ MIRA,Other fruit-bearing trees and vines,1,0.2
CAGAYAN,SANCHEZ MIRA,Other fruit-bearing vegetables,5,8.58
CAGAYAN,SANCHEZ MIRA,Other leafy vegetables,1,0.05
CAGAYAN,SANCHEZ MIRA,Other poultry,1,0
CAGAYAN,SANCHEZ MIRA,Pigs or swine,117,0
CAGAYAN,SANCHEZ MIRA,Rice/Palay,1997,2946.65
CAGAYAN,SANCHEZ MIRA,Sheep,1,0
CAGAYAN,SANCHEZ MIRA,Tilapia,5,1.67
CAGAYAN,SANCHEZ MIRA,Turkeys,5,0
CAGAYAN,SANTA ANA,Banana,7,3.8
CAGAYAN,SANTA ANA,Buffaloes (Carabaos),148,0
CAGAYAN,SANTA ANA,Camote tops (talbos ng kamote),1,1
CAGAYAN,SANTA ANA,Cattle,48,0
CAGAYAN,SANTA ANA,Chickens,131,0
CAGAYAN,SANTA ANA,Coconut,8,11.9
CAGAYAN,SANTA ANA,Corn,171,233.21
CAGAYAN,SANTA ANA,Ducks,37,0
CAGAYAN,SANTA ANA,Eggplant (talong),9,0.7
CAGAYAN,SANTA ANA,Goats,15,0
CAGAYAN,SANTA ANA,Lime (Calamansi),2,0.35
CAGAYAN,SANTA ANA,Mandarin (dalanghita),1,0.3
CAGAYAN,SANTA ANA,Other crops for fiber production,1,0.5
CAGAYAN,SANTA ANA,Other Fish,4,0.18
CAGAYAN,SANTA ANA,Other fruit-bearing trees and vines,2,1.8
CAGAYAN,SANTA ANA,Other fruit-bearing vegetables,18,16.43
CAGAYAN,SANTA ANA,Other leafy vegetables,3,0.9
CAGAYAN,SANTA ANA,Other leguminous plants,3,1.73
CAGAYAN,SANTA ANA,Peanuts,1,0.1
CAGAYAN,SANTA ANA,Pigs or swine,77,0
CAGAYAN,SANTA ANA,Pineapple,117,190.78
CAGAYAN,SANTA ANA,Rabbits and hares,1,0
CAGAYAN,SANTA ANA,Rice/Palay,2527,3617.61
CAGAYAN,SANTA ANA,Sheep,1,0
CAGAYAN,SANTA ANA,String beans - harvested green (sitao),1,0.5
CAGAYAN,SANTA ANA,Turkeys,1,0
CAGAYAN,SANTA ANA,Water melon,19,23.26
CAGAYAN,SANTA PRAXEDES,Ampalaya,1,0
CAGAYAN,SANTA PRAXEDES,Banana,27,11.4
CAGAYAN,SANTA PRAXEDES,Betel Nut (Nga-nga),1,0.44
CAGAYAN,SANTA PRAXEDES,Black pepper,1,0.25
CAGAYAN,SANTA PRAXEDES,Buffaloes (Carabaos),19,0
CAGAYAN,SANTA PRAXEDES,Cacao,2,0.65
CAGAYAN,SANTA PRAXEDES,Camote tops (talbos ng kamote),1,0.01
CAGAYAN,SANTA PRAXEDES,Cassava (kamoteng kahoy),5,0.46
CAGAYAN,SANTA PRAXEDES,Cattle,22,0
CAGAYAN,SANTA PRAXEDES,Chickens,83,0
CAGAYAN,SANTA PRAXEDES,Coconut,104,84.37
CAGAYAN,SANTA PRAXEDES,Coffee - other varieties,1,0.15
CAGAYAN,SANTA PRAXEDES,Corn,2,2.58
CAGAYAN,SANTA PRAXEDES,Ducks,33,0
CAGAYAN,SANTA PRAXEDES,Eggplant (talong),1,0
CAGAYAN,SANTA PRAXEDES,Geese,1,0
CAGAYAN,SANTA PRAXEDES,Ginger (luya),1,0.06
CAGAYAN,SANTA PRAXEDES,Gmelina Arborea,1,0.3
CAGAYAN,SANTA PRAXEDES,Goats,6,0
CAGAYAN,SANTA PRAXEDES,Grapes (ubas),1,0.37
CAGAYAN,SANTA PRAXEDES,Hito/Catfish,1,0
CAGAYAN,SANTA PRAXEDES,Jackfruit,2,0.75
CAGAYAN,SANTA PRAXEDES,Lanzones,1,1.75
CAGAYAN,SANTA PRAXEDES,Lime (Calamansi),2,1.56
CAGAYAN,SANTA PRAXEDES,Mahogany,1,0.3
CAGAYAN,SANTA PRAXEDES,Mandarin (dalanghita),8,6.06
CAGAYAN,SANTA PRAXEDES,Other Fish,79,1.93
CAGAYAN,SANTA PRAXEDES,Other fruit-bearing trees and vines,53,55.37
CAGAYAN,SANTA PRAXEDES,Other fruit-bearing vegetables,7,1.88
CAGAYAN,SANTA PRAXEDES,Other leafy vegetables,24,3.49
CAGAYAN,SANTA PRAXEDES,Other leguminous plants,1,0.02
CAGAYAN,SANTA PRAXEDES,Other tubers - roots and bulbs,1,0.13
CAGAYAN,SANTA PRAXEDES,Palm tree,1,0.6
CAGAYAN,SANTA PRAXEDES,Pechay,1,0
CAGAYAN,SANTA PRAXEDES,Pigs or swine,83,0
CAGAYAN,SANTA PRAXEDES,Pineapple,7,1.96
CAGAYAN,SANTA PRAXEDES,Pomelo (suha),1,0.5
CAGAYAN,SANTA PRAXEDES,Rambutan,9,3.31
CAGAYAN,SANTA PRAXEDES,Rice/Palay,575,421.31
CAGAYAN,SANTA PRAXEDES,Sheep,1,0
CAGAYAN,SANTA PRAXEDES,Squash (kalabasa),1,0
CAGAYAN,SANTA PRAXEDES,Tilapia,5,0.13
CAGAYAN,SANTA PRAXEDES,Turkeys,2,0
CAGAYAN,SANTA TERESITA,Ampalaya,2,1.5
CAGAYAN,SANTA TERESITA,Banana,7,7.5
CAGAYAN,SANTA TERESITA,Buffaloes (Carabaos),333,0
CAGAYAN,SANTA TERESITA,Cattle,139,0
CAGAYAN,SANTA TERESITA,Chickens,162,0.13
CAGAYAN,SANTA TERESITA,Coconut,18,20.71
CAGAYAN,SANTA TERESITA,Corn,1784,2797.63
CAGAYAN,SANTA TERESITA,Crab,1,0.3
CAGAYAN,SANTA TERESITA,crops for seed and seedling,1,1
CAGAYAN,SANTA TERESITA,Dragon Fruit,1,2
CAGAYAN,SANTA TERESITA,Ducks,109,0
CAGAYAN,SANTA TERESITA,Geese,2,0
CAGAYAN,SANTA TERESITA,Goats,20,0
CAGAYAN,SANTA TERESITA,Guinea Fowls,1,0
CAGAYAN,SANTA TERESITA,Horses,1,0
CAGAYAN,SANTA TERESITA,Malaga,1,0.25
CAGAYAN,SANTA TERESITA,Other animals (e.g.,7,0
CAGAYAN,SANTA TERESITA,Other Fish,36,20.25
CAGAYAN,SANTA TERESITA,Other fruit-bearing trees and vines,5,20.45
CAGAYAN,SANTA TERESITA,Other fruit-bearing vegetables,14,25.09
CAGAYAN,SANTA TERESITA,Other industrial crops,2,1.25
CAGAYAN,SANTA TERESITA,Other leafy vegetables,11,6.25
CAGAYAN,SANTA TERESITA,Other spices,1,0.25
CAGAYAN,SANTA TERESITA,Other tubers - roots and bulbs,1,0.6
CAGAYAN,SANTA TERESITA,Pigeons,1,0
CAGAYAN,SANTA TERESITA,Pigs or swine,144,0.25
CAGAYAN,SANTA TERESITA,Pineapple,2,5
CAGAYAN,SANTA TERESITA,Rice/Palay,2951,3565.8
CAGAYAN,SANTA TERESITA,Sheep,5,0
CAGAYAN,SANTA TERESITA,Tilapia,29,16.75
CAGAYAN,SANTA TERESITA,Turkeys,5,0
CAGAYAN,SANTA TERESITA,Water melon,1,0.75
CAGAYAN,SANTO NIÑO FAIRE,Ampalaya,4,1.8
CAGAYAN,SANTO NIÑO FAIRE,Banana,4,5.25
CAGAYAN,SANTO NIÑO FAIRE,Buffaloes (Carabaos),1363,0
CAGAYAN,SANTO NIÑO FAIRE,Cabbage (repolyo),2,0.72
CAGAYAN,SANTO NIÑO FAIRE,Cattle,86,0
CAGAYAN,SANTO NIÑO FAIRE,Chickens,1375,0
CAGAYAN,SANTO NIÑO FAIRE,Corn,3714,4725.36
CAGAYAN,SANTO NIÑO FAIRE,Dogs and cats,5,0
CAGAYAN,SANTO NIÑO FAIRE,Ducks,537,0
CAGAYAN,SANTO NIÑO FAIRE,Eggplant (talong),9,5
CAGAYAN,SANTO NIÑO FAIRE,"Forage grass (sacate, alfalfa, green corn stalk)",1,5
CAGAYAN,SANTO NIÑO FAIRE,Geese,19,0
CAGAYAN,SANTO NIÑO FAIRE,Goats,313,0
CAGAYAN,SANTO NIÑO FAIRE,Green corn,2,1.25
CAGAYAN,SANTO NIÑO FAIRE,Horses,7,0
CAGAYAN,SANTO NIÑO FAIRE,Mango,1,1
CAGAYAN,SANTO NIÑO FAIRE,Other Fish,4,0.31
CAGAYAN,SANTO NIÑO FAIRE,Other fruit-bearing trees and vines,2,0.75
CAGAYAN,SANTO NIÑO FAIRE,Other fruit-bearing vegetables,77,33.62
CAGAYAN,SANTO NIÑO FAIRE,Other leafy vegetables,56,23.31
CAGAYAN,SANTO NIÑO FAIRE,Other varieties of tobacco,2,1.35
CAGAYAN,SANTO NIÑO FAIRE,Pigeons,1,0
CAGAYAN,SANTO NIÑO FAIRE,Pigs or swine,942,0
CAGAYAN,SANTO NIÑO FAIRE,Rice/Palay,4070,4756.23
CAGAYAN,SANTO NIÑO FAIRE,Sheep,1,0
CAGAYAN,SANTO NIÑO FAIRE,Squash (kalabasa),1,0.5
CAGAYAN,SANTO NIÑO FAIRE,Sugarcane,21,39.4
CAGAYAN,SANTO NIÑO FAIRE,Tilapia,3,0.29
CAGAYAN,SANTO NIÑO FAIRE,Tobacco (native),5,1.78
CAGAYAN,SANTO NIÑO FAIRE,Turkeys,20,0
CAGAYAN,SANTO NIÑO FAIRE,Wax gourd (kondol),1,0.25
CAGAYAN,SOLANA,Ampalaya,17,7.14
CAGAYAN,SOLANA,Banana,6,6.14
CAGAYAN,SOLANA,Buffaloes (Carabaos),779,0
CAGAYAN,SOLANA,Cacao,1,1
CAGAYAN,SOLANA,Cattle,186,0
CAGAYAN,SOLANA,Chickens,1223,0
CAGAYAN,SOLANA,Chili (labuyo),1,0.3
CAGAYAN,SOLANA,Coconut,2,1.3
CAGAYAN,SOLANA,Common gourd (upo),6,1.05
CAGAYAN,SOLANA,Corn,4562,7085.86
CAGAYAN,SOLANA,crops for seed and seedling,1,0.75
CAGAYAN,SOLANA,Dogs and cats,4,0
CAGAYAN,SOLANA,Ducks,873,0
CAGAYAN,SOLANA,Eggplant (talong),7,2.42
CAGAYAN,SOLANA,"Forage grass (sacate, alfalfa, green corn stalk)",1,1.34
CAGAYAN,SOLANA,Geese,26,0
CAGAYAN,SOLANA,Goats,73,0
CAGAYAN,SOLANA,Green corn,2,0.91
CAGAYAN,SOLANA,Hito/Catfish,2,0.16
CAGAYAN,SOLANA,Horses,11,0
CAGAYAN,SOLANA,Kalamansi,1,0.4
CAGAYAN,SOLANA,Mango,4,3.16
CAGAYAN,SOLANA,Okra,3,0.5
CAGAYAN,SOLANA,Other animals (e.g.,3,0
CAGAYAN,SOLANA,Other Fish,13,5.38
CAGAYAN,SOLANA,Other fruit-bearing trees and vines,5,4.85
CAGAYAN,SOLANA,Other fruit-bearing vegetables,90,50.63
CAGAYAN,SOLANA,Other industrial crops,8,4.4
CAGAYAN,SOLANA,Other leafy vegetables,52,32.35
CAGAYAN,SOLANA,Other leguminous plants,2,1.5
CAGAYAN,SOLANA,Other poultry,1,0
CAGAYAN,SOLANA,Other varieties of tobacco,14,7.09
CAGAYAN,SOLANA,Patola,8,3.47
CAGAYAN,SOLANA,Pigeons,1,0
CAGAYAN,SOLANA,Pigs or swine,708,0
CAGAYAN,SOLANA,Rabbits and hares,2,0
CAGAYAN,SOLANA,Rice/Palay,8986,15135.49
CAGAYAN,SOLANA,Sheep,11,0
CAGAYAN,SOLANA,Squash (kalabasa),2,0.6
CAGAYAN,SOLANA,String beans - harvested green (sitao),8,1.37
CAGAYAN,SOLANA,Sugarcane,148,407.54
CAGAYAN,SOLANA,Tilapia,2,0.4
CAGAYAN,SOLANA,Tobacco (native),18,8.57
CAGAYAN,SOLANA,Tomato (kamatis),1,0.1
CAGAYAN,SOLANA,Turkeys,29,0
CAGAYAN,TUAO,Ampalaya,1,1.7
CAGAYAN,TUAO,Banana,3,2
CAGAYAN,TUAO,Buffaloes (Carabaos),376,0
CAGAYAN,TUAO,Cacao,1,0.1
CAGAYAN,TUAO,Cattle,57,0
CAGAYAN,TUAO,Chickens,984,0
CAGAYAN,TUAO,Chinese Cabbage,1,0.01
CAGAYAN,TUAO,Corn,3038,3619.34
CAGAYAN,TUAO,Dogs and cats,7,0
CAGAYAN,TUAO,Ducks,657,0
CAGAYAN,TUAO,Eggplant (talong),1,0.1
CAGAYAN,TUAO,Geese,14,0
CAGAYAN,TUAO,Goats,73,0
CAGAYAN,TUAO,Hito/Catfish,6,1.68
CAGAYAN,TUAO,Horses,8,0
CAGAYAN,TUAO,Mango,1,1
CAGAYAN,TUAO,Other animals (e.g.,10,0
CAGAYAN,TUAO,Other Fish,6,0.95
CAGAYAN,TUAO,Other fruit-bearing trees and vines,1,0.3
CAGAYAN,TUAO,Other fruit-bearing vegetables,35,9.66
CAGAYAN,TUAO,Other leafy vegetables,21,5.08
CAGAYAN,TUAO,Other poultry,1,0
CAGAYAN,TUAO,Other varieties of tobacco,11,4.38
CAGAYAN,TUAO,Peanuts,2,0.9
CAGAYAN,TUAO,Pigs or swine,492,0
CAGAYAN,TUAO,Rice/Palay,7794,10684.29
CAGAYAN,TUAO,Sheep,4,0
CAGAYAN,TUAO,Squash (kalabasa),2,1.1
CAGAYAN,TUAO,Sugarcane,142,385.29
CAGAYAN,TUAO,Tilapia,5,5.94
CAGAYAN,TUAO,Tobacco (native),17,8.22
CAGAYAN,TUAO,Turkeys,15,0
CAGAYAN,TUGUEGARAO CITY Capital,Banana,6,2.34
CAGAYAN,TUGUEGARAO CITY Capital,Buffaloes (Carabaos),609,0
CAGAYAN,TUGUEGARAO CITY Capital,Cattle,303,0
CAGAYAN,TUGUEGARAO CITY Capital,Chickens,669,0
CAGAYAN,TUGUEGARAO CITY Capital,Coconut,1,0.8
CAGAYAN,TUGUEGARAO CITY Capital,Corn,2641,3783.44
CAGAYAN,TUGUEGARAO CITY Capital,Dogs and cats,34,0
CAGAYAN,TUGUEGARAO CITY Capital,Ducks,329,0
CAGAYAN,TUGUEGARAO CITY Capital,Eggplant (talong),1,0.4
CAGAYAN,TUGUEGARAO CITY Capital,Geese,33,0
CAGAYAN,TUGUEGARAO CITY Capital,Goats,54,0
CAGAYAN,TUGUEGARAO CITY Capital,Guinea Fowls,1,0
CAGAYAN,TUGUEGARAO CITY Capital,Horses,35,0
CAGAYAN,TUGUEGARAO CITY Capital,Lettuce,1,0.5
CAGAYAN,TUGUEGARAO CITY Capital,Lime (Calamansi),1,0.5
CAGAYAN,TUGUEGARAO CITY Capital,Mango,3,1.85
CAGAYAN,TUGUEGARAO CITY Capital,Mongo (Mung Bean),2,0.32
CAGAYAN,TUGUEGARAO CITY Capital,Mushroom,2,0.14
CAGAYAN,TUGUEGARAO CITY Capital,Other Fish,6,0.85
CAGAYAN,TUGUEGARAO CITY Capital,Other fruit-bearing trees and vines,4,31.57
CAGAYAN,TUGUEGARAO CITY Capital,Other fruit-bearing vegetables,86,22.26
CAGAYAN,TUGUEGARAO CITY Capital,Other leafy vegetables,73,24.9
CAGAYAN,TUGUEGARAO CITY Capital,Other leguminous plants,25,7.25
CAGAYAN,TUGUEGARAO CITY Capital,Papaya,1,0.5
CAGAYAN,TUGUEGARAO CITY Capital,Peanuts,20,9.45
CAGAYAN,TUGUEGARAO CITY Capital,Pigeons,1,0
CAGAYAN,TUGUEGARAO CITY Capital,Pigs or swine,149,0
CAGAYAN,TUGUEGARAO CITY Capital,Rabbits and hares,2,0
CAGAYAN,TUGUEGARAO CITY Capital,Radish (labanos),1,0.05
CAGAYAN,TUGUEGARAO CITY Capital,Rice/Palay,1188,1622.21
CAGAYAN,TUGUEGARAO CITY Capital,Sheep,15,0
CAGAYAN,TUGUEGARAO CITY Capital,Squash (kalabasa),1,0.04
CAGAYAN,TUGUEGARAO CITY Capital,String beans - harvested green (sitao),2,0.15
CAGAYAN,TUGUEGARAO CITY Capital,Sugarcane,5,24.12
CAGAYAN,TUGUEGARAO CITY Capital,Tilapia,6,1.09
CAGAYAN,TUGUEGARAO CITY Capital,Tobacco (native),4,2.25
CAGAYAN,TUGUEGARAO CITY Capital,Turkeys,38,0
ISABELA,ALICIA,Banana,2,2.5
ISABELA,ALICIA,Buffaloes (Carabaos),2,0
ISABELA,ALICIA,Cattle,2,0
ISABELA,ALICIA,Chickens,5,0
ISABELA,ALICIA,Corn,38,63.46
ISABELA,ALICIA,Ducks,4,0
ISABELA,ALICIA,Lemon,1,0.41
ISABELA,ALICIA,Mango,2,2.42
ISABELA,ALICIA,Mongo (Mung Bean),1,3.02
ISABELA,ALICIA,Other Fish,24,4.35
ISABELA,ALICIA,Other fruit-bearing vegetables,1,2
ISABELA,ALICIA,Other leafy vegetables,1,0.75
ISABELA,ALICIA,Other leguminous plants,3,1.2
ISABELA,ALICIA,Pigs or swine,48,0
ISABELA,ALICIA,Rice/Palay,4921,8800.56
ISABELA,ALICIA,Sugarcane,7,7.35
ISABELA,ALICIA,Tilapia,5,6
ISABELA,ANGADANAN,Ampalaya,2,3
ISABELA,ANGADANAN,Bamboo (Kawayan),3,1.85
ISABELA,ANGADANAN,Banana,190,117.43
ISABELA,ANGADANAN,Buffaloes (Carabaos),219,0
ISABELA,ANGADANAN,Cacao,4,1.33
ISABELA,ANGADANAN,Cassava (kamoteng kahoy),76,70.37
ISABELA,ANGADANAN,Cattle,198,0
ISABELA,ANGADANAN,Chickens,460,0
ISABELA,ANGADANAN,Coconut,9,8.98
ISABELA,ANGADANAN,Coffee - other varieties,10,5.42
ISABELA,ANGADANAN,Coffee arabica,1,0.13
ISABELA,ANGADANAN,Corn,4197,6355.73
ISABELA,ANGADANAN,Deer,1,0
ISABELA,ANGADANAN,Dogs and cats,3,0
ISABELA,ANGADANAN,Dragon Fruit,1,0.25
ISABELA,ANGADANAN,Ducks,162,0
ISABELA,ANGADANAN,"Forage grass (sacate, alfalfa, green corn stalk)",1,0.29
ISABELA,ANGADANAN,Geese,1,0
ISABELA,ANGADANAN,Goats,38,0
ISABELA,ANGADANAN,Grapes (ubas),1,0.05
ISABELA,ANGADANAN,Hito/Catfish,1,0.07
ISABELA,ANGADANAN,Kalamansi,2,0.8
ISABELA,ANGADANAN,Mango,7,9.05
ISABELA,ANGADANAN,Mongo (Mung Bean),2,0.35
ISABELA,ANGADANAN,Other animals (e.g.,2,0
ISABELA,ANGADANAN,Other Fish,12,1.1
ISABELA,ANGADANAN,Other fruit-bearing trees and vines,4,2.69
ISABELA,ANGADANAN,Other fruit-bearing vegetables,36,8.34
ISABELA,ANGADANAN,Other industrial crops,2,1.15
ISABELA,ANGADANAN,Other leafy vegetables,34,9.04
ISABELA,ANGADANAN,Other leguminous plants,1,0.14
ISABELA,ANGADANAN,Other poultry,4,0
ISABELA,ANGADANAN,Other spices,1,1.8
ISABELA,ANGADANAN,Other varieties of tobacco,26,27.18
ISABELA,ANGADANAN,Papaya,1,0.5
ISABELA,ANGADANAN,Peanuts,7,2.15
ISABELA,ANGADANAN,Pigs or swine,234,0
ISABELA,ANGADANAN,Pineapple,3,4.25
ISABELA,ANGADANAN,Rambutan,1,1
ISABELA,ANGADANAN,Rice/Palay,3986,4777.3
ISABELA,ANGADANAN,Sheep,1,0
ISABELA,ANGADANAN,Soybeans,1,0.31
ISABELA,ANGADANAN,String beans - harvested green (sitao),1,0.1
ISABELA,ANGADANAN,Sugarcane,51,131.64
ISABELA,ANGADANAN,Tilapia,9,3.08
ISABELA,ANGADANAN,Tobacco (native),20,18.79
ISABELA,ANGADANAN,Turkeys,3,0
ISABELA,ANGADANAN,Water melon,2,0.9
ISABELA,AURORA,Ampalaya,1,0.5
ISABELA,AURORA,Blue Ternate,1,0.5
ISABELA,AURORA,Buffaloes (Carabaos),15,0
ISABELA,AURORA,Cattle,49,0
ISABELA,AURORA,Chickens,41,0
ISABELA,AURORA,Corn,1433,2058.84
ISABELA,AURORA,Ducks,30,0
ISABELA,AURORA,Eggplant (talong),3,1.05
ISABELA,AURORA,"Forage grass (sacate, alfalfa, green corn stalk)",1,1.57
ISABELA,AURORA,Geese,1,0
ISABELA,AURORA,Goats,33,0
ISABELA,AURORA,Horses,1,0
ISABELA,AURORA,Kalamansi,163,148.37
ISABELA,AURORA,Lime (Calamansi),71,53.09
ISABELA,AURORA,Mandarin (dalanghita),1,1
ISABELA,AURORA,Mango,2,2.3
ISABELA,AURORA,Okra,1,0
ISABELA,AURORA,Orchard,1,8.5
ISABELA,AURORA,Other animals (e.g.,1,0
ISABELA,AURORA,Other fruit-bearing trees and vines,2,0.8
ISABELA,AURORA,Other fruit-bearing vegetables,78,45.71
ISABELA,AURORA,Other industrial crops,1,0.5
ISABELA,AURORA,Other leafy vegetables,55,29.56
ISABELA,AURORA,Other leguminous plants,1,0.5
ISABELA,AURORA,Other varieties of tobacco,113,82.64
ISABELA,AURORA,Papaya,1,1.5
ISABELA,AURORA,Pigs or swine,41,0
ISABELA,AURORA,Rice/Palay,1918,3418.54
ISABELA,AURORA,Sheep,1,0
ISABELA,AURORA,Sugarcane,2,15.8
ISABELA,AURORA,Tobacco (native),35,30.83
ISABELA,AURORA,Tobacco (Virginia),1,0.5
ISABELA,BENITO SOLIVEN,Bamboo (Kawayan),1,0.5
ISABELA,BENITO SOLIVEN,Banana,1135,1306.46
ISABELA,BENITO SOLIVEN,Beans - dry,2,0.4
ISABELA,BENITO SOLIVEN,Buffaloes (Carabaos),754,0
ISABELA,BENITO SOLIVEN,Cassava (kamoteng kahoy),26,21.92
ISABELA,BENITO SOLIVEN,Cattle,91,0
ISABELA,BENITO SOLIVEN,Chickens,838,0
ISABELA,BENITO SOLIVEN,Coconut,2,6.1
ISABELA,BENITO SOLIVEN,Corn,5106,7659.08
ISABELA,BENITO SOLIVEN,Dogs and cats,96,0
ISABELA,BENITO SOLIVEN,Ducks,414,0
ISABELA,BENITO SOLIVEN,"Forage grass (sacate, alfalfa, green corn stalk)",1,1.1
ISABELA,BENITO SOLIVEN,Geese,10,0
ISABELA,BENITO SOLIVEN,Goats,37,0
ISABELA,BENITO SOLIVEN,Horses,2,0
ISABELA,BENITO SOLIVEN,Kalamansi,2,0.95
ISABELA,BENITO SOLIVEN,Mango,3,2.9
ISABELA,BENITO SOLIVEN,Mongo (Mung Bean),1,0.25
ISABELA,BENITO SOLIVEN,Other fruit-bearing trees and vines,1,0.75
ISABELA,BENITO SOLIVEN,Other fruit-bearing vegetables,7,6.27
ISABELA,BENITO SOLIVEN,Other industrial crops,2,0.6
ISABELA,BENITO SOLIVEN,Other leafy vegetables,4,4.75
ISABELA,BENITO SOLIVEN,Other leguminous plants,1,1
ISABELA,BENITO SOLIVEN,Other oilseed crops,1,0.8
ISABELA,BENITO SOLIVEN,Other varieties of tobacco,7,4
ISABELA,BENITO SOLIVEN,Peanuts,3,0.65
ISABELA,BENITO SOLIVEN,Pigeons,4,0
ISABELA,BENITO SOLIVEN,Pigs or swine,461,0
ISABELA,BENITO SOLIVEN,Pineapple,1,0.25
ISABELA,BENITO SOLIVEN,Potato (patatas),1,0.5
ISABELA,BENITO SOLIVEN,Quail,1,0
ISABELA,BENITO SOLIVEN,Rice/Palay,4110,2905.03
ISABELA,BENITO SOLIVEN,Sheep,3,0
ISABELA,BENITO SOLIVEN,String beans - harvested green (sitao),2,0.35
ISABELA,BENITO SOLIVEN,Sugarcane,38,109.98
ISABELA,BENITO SOLIVEN,Tilapia,3,0.68
ISABELA,BENITO SOLIVEN,Tobacco (native),6,1.8
ISABELA,BENITO SOLIVEN,Turkeys,10,0
ISABELA,BENITO SOLIVEN,Water melon,5,3.7
ISABELA,BURGOS,Buffaloes (Carabaos),1,0
ISABELA,BURGOS,Cattle,2,0
ISABELA,BURGOS,Chickens,4,0
ISABELA,BURGOS,Corn,496,756.7
ISABELA,BURGOS,Ducks,6,0
ISABELA,BURGOS,Goats,1,0
ISABELA,BURGOS,Hito/Catfish,3,2.03
ISABELA,BURGOS,Kalamansi,2,2
ISABELA,BURGOS,Lime (Calamansi),27,33.26
ISABELA,BURGOS,Other Fish,2,0.4
